Name,Agility,Reactions,total
Piqué,58.0,84.0,191.0
L. Sané,88.0,81.0,262.0
Bernardo Silva,90.0,82.0,256.0
Ederson,60.0,86.0,210.0
S. Mané,91.0,86.0,272.0
V. van Dijk,61.0,85.0,220.0
R. Sterling,93.0,87.0,275.0
Roberto Firmino,80.0,86.0,244.0
R. Varane,63.0,83.0,229.0
M. Verratti,87.0,85.0,241.0
Alex Sandro,79.0,84.0,246.0
Douglas Costa,93.0,84.0,274.0
T. Müller,75.0,91.0,239.0
Thiago,90.0,84.0,252.0
M. Reus,86.0,87.0,259.0
Azpilicueta,72.0,88.0,236.0
L. Bonucci,60.0,84.0,201.0
T. Alderweireld,60.0,86.0,207.0
M. Pjanić,77.0,84.0,227.0
M. Benatia,59.0,82.0,206.0
M. Özil,79.0,84.0,235.0
Fernandinho,72.0,86.0,226.0
Iniesta,79.0,86.0,235.0
M. Škriniar,48.0,81.0,199.0
S. Milinković-Savić,66.0,80.0,214.0
Marco Asensio,79.0,82.0,246.0
N. Fekir,90.0,80.0,249.0
Alisson,40.0,84.0,178.0
J. Kimmich,84.0,85.0,247.0
Saúl,76.0,82.0,232.0
R. Mahrez,93.0,77.0,258.0
D. Alaba,79.0,84.0,242.0
Koke,74.0,85.0,230.0
A. Lacazette,85.0,85.0,251.0
K. Manolas,68.0,85.0,233.0
N. Otamendi,64.0,79.0,200.0
Parejo,66.0,78.0,195.0
Paulinho,69.0,84.0,226.0
W. Szczęsny,55.0,82.0,188.0
A. Sánchez,90.0,83.0,259.0
Y. Brahimi,92.0,84.0,263.0
J. Boateng,56.0,82.0,205.0
A. Vidal,74.0,84.0,218.0
I. Perišić,78.0,81.0,243.0
E. Džeko,57.0,83.0,205.0
S. Khedira,55.0,87.0,196.0
Diego Costa,58.0,85.0,217.0
R. Nainggolan,76.0,87.0,241.0
Naldo,46.0,85.0,191.0
B. Matuidi,83.0,84.0,246.0
Miranda,61.0,81.0,208.0
K. Benzema,76.0,83.0,235.0
Filipe Luís,75.0,85.0,236.0
V. Kompany,57.0,87.0,196.0
Pepe,63.0,83.0,211.0
Z. Ibrahimović,75.0,82.0,215.0
D. Sánchez,60.0,80.0,212.0
J. Giménez,56.0,76.0,201.0
Alex Telles,73.0,83.0,240.0
A. Laporte,45.0,83.0,190.0
Bruno Fernandes,77.0,84.0,240.0
N. Süle,33.0,79.0,164.0
A. Martial,85.0,81.0,254.0
D. Alli,76.0,85.0,234.0
Fabinho,69.0,83.0,221.0
Marquinhos,69.0,81.0,223.0
William Carvalho,51.0,75.0,175.0
Jorginho,80.0,83.0,238.0
F. Thauvin,86.0,83.0,256.0
Carvajal,81.0,82.0,242.0
M. Depay,82.0,79.0,248.0
H. Son,82.0,84.0,254.0
A. Lopes,67.0,84.0,214.0
S. de Vrij,61.0,80.0,208.0
M. Perin,70.0,79.0,206.0
J. Cuadrado,91.0,80.0,260.0
Iago Aspas,87.0,85.0,257.0
B. Leno,52.0,80.0,178.0
N. Matić,44.0,83.0,179.0
L. Hrádecký,43.0,83.0,164.0
Illarramendi,71.0,84.0,221.0
K. Walker,67.0,83.0,236.0
I. Gündoğan,78.0,85.0,230.0
José Callejón,85.0,82.0,255.0
A. Di María,92.0,80.0,257.0
M. Mandžukić,67.0,86.0,220.0
Willian,89.0,82.0,262.0
Sergio Asenjo,62.0,79.0,200.0
E. Banega,79.0,77.0,224.0
A. Witsel,78.0,84.0,229.0
D. Payet,79.0,75.0,229.0
Jonas,77.0,85.0,227.0
Sokratis,60.0,81.0,205.0
S. Ruffier,51.0,78.0,174.0
Falcao,76.0,85.0,230.0
K. Schmeichel,62.0,81.0,202.0
Raúl Albiol,53.0,82.0,189.0
A. Gómez,92.0,83.0,269.0
A. Barzagli,52.0,80.0,193.0
Quaresma,91.0,78.0,253.0
A. Robben,87.0,85.0,255.0
O. Dembélé,90.0,82.0,265.0
Gabriel Jesus,92.0,86.0,265.0
Ronaldo Cabrais,85.0,84.0,257.0
Josué Chiamulera,77.0,85.0,245.0
Louri Beretta,55.0,84.0,218.0
P. Kimpembe,74.0,79.0,228.0
N. Keïta,89.0,82.0,249.0
C. Tolisso,75.0,83.0,233.0
T. Lemar,87.0,80.0,253.0
K. Coman,87.0,81.0,263.0
J. Tah,48.0,82.0,194.0
Anderson Talisca,76.0,79.0,232.0
T. Werner,81.0,86.0,260.0
A. Rabiot,79.0,83.0,235.0
L. Goretzka,76.0,83.0,243.0
Q. Promes,87.0,82.0,259.0
H. Ziyech,85.0,82.0,243.0
Lucas Vázquez,79.0,85.0,248.0
Y. Carrasco,88.0,83.0,260.0
Gerard Moreno,70.0,82.0,229.0
Felipe,52.0,77.0,189.0
M. Kovačić,81.0,70.0,235.0
Kepa,41.0,79.0,154.0
Manu Trigueros,76.0,82.0,226.0
S. Gnabry,87.0,80.0,259.0
J. Pickford,55.0,83.0,191.0
S. Savić,61.0,82.0,198.0
J. Stones,61.0,82.0,210.0
Suso,86.0,78.0,247.0
J. Draxler,80.0,83.0,241.0
Felipe Anderson,89.0,74.0,256.0
Lucas Moura,94.0,76.0,264.0
Danilo Pereira,58.0,76.0,197.0
Nacho Fernández,60.0,79.0,209.0
T. Horn,50.0,80.0,175.0
Allan,82.0,86.0,249.0
F. Acerbi,33.0,81.0,179.0
Sergi Roberto,69.0,80.0,227.0
Rodrigo,84.0,80.0,252.0
Pizzi,77.0,81.0,240.0
K. Kampl,91.0,84.0,259.0
Neto,59.0,79.0,191.0
O. Baumann,45.0,81.0,173.0
I. Gueye,80.0,81.0,237.0
H. Mkhitaryan,87.0,79.0,250.0
Marcos Alonso,64.0,84.0,217.0
D. Subašić,42.0,78.0,171.0
K. Glik,34.0,78.0,162.0
K. Strootman,65.0,83.0,213.0
B. Dost,32.0,85.0,166.0
Oscar,86.0,81.0,242.0
M. Balotelli,71.0,68.0,215.0
Luiz Gustavo,65.0,83.0,213.0
Giuliano,85.0,81.0,251.0
David Luiz,69.0,75.0,203.0
R. Fährmann,39.0,83.0,160.0
Juan Mata,84.0,85.0,238.0
Adán,55.0,77.0,188.0
Rui Patrício,61.0,80.0,194.0
Y. Sommer,55.0,80.0,183.0
Javi Martínez,53.0,83.0,185.0
L. Bender,65.0,83.0,214.0
Lucas Leiva,78.0,82.0,227.0
S. Mandanda,52.0,80.0,185.0
Cesc Fàbregas,62.0,81.0,199.0
M. Dembélé,79.0,83.0,234.0
F. Ribéry,84.0,83.0,245.0
R. Jarstein,35.0,76.0,151.0
D. De Rossi,64.0,80.0,207.0
Pepe Reina,50.0,82.0,182.0
J. Pavlenka,39.0,78.0,152.0
M. de Ligt,56.0,77.0,195.0
Rodri,69.0,79.0,218.0
Arthur,79.0,81.0,228.0
G. Donnarumma,64.0,74.0,184.0
Rosberto Dourado,72.0,80.0,232.0
Juiano Mestres,61.0,78.0,207.0
Raphaelito Anjos,34.0,82.0,157.0
Gelson Martins,94.0,83.0,272.0
Gonçalo Guedes,85.0,80.0,254.0
L. Torreira,83.0,79.0,243.0
Malcom,92.0,80.0,259.0
Pau López,40.0,74.0,159.0
L. Hernández,70.0,80.0,230.0
C. Lenglet,62.0,79.0,213.0
A. Kramarić,82.0,81.0,241.0
A. Robertson,78.0,81.0,240.0
Dani García,67.0,72.0,192.0
F. Bernardeschi,85.0,80.0,248.0
J. Brandt,82.0,80.0,240.0
D. Rugani,59.0,78.0,193.0
Samu Castillejo,83.0,82.0,250.0
João Cancelo,78.0,82.0,251.0
A. Romagnoli,60.0,78.0,201.0
T. Partey,72.0,77.0,222.0
Fred,84.0,82.0,243.0
J. Vardy,75.0,88.0,252.0
A. Belotti,79.0,76.0,233.0
E. Forsberg,81.0,82.0,239.0
J. Lingard,86.0,83.0,253.0
F. Vázquez,69.0,78.0,205.0
E. Višća,93.0,80.0,263.0
A. Rüdiger,59.0,82.0,208.0
A. Florenzi,87.0,80.0,253.0
H. Maguire,52.0,79.0,170.0
T. Meunier,63.0,80.0,217.0
S. Sané,60.0,79.0,201.0
G. Kondogbia,76.0,84.0,229.0
Rafinha,80.0,79.0,230.0
Gabriel Paulista,69.0,80.0,220.0
Morata,66.0,79.0,221.0
J. Cillessen,48.0,78.0,180.0
W. Ben Yedder,91.0,83.0,261.0
C. Bakambu,80.0,81.0,249.0
Pablo Sarabia,80.0,77.0,232.0
W. Zaha,88.0,77.0,254.0
Luis Alberto,79.0,83.0,239.0
Jonathan Viera,89.0,81.0,256.0
Bartra,72.0,82.0,229.0
S. Coates,32.0,75.0,153.0
Willian José,65.0,81.0,208.0
Mário Fernandes,79.0,80.0,238.0
Víctor Ruiz,56.0,78.0,189.0
T. Delaney,73.0,81.0,230.0
K. Casteels,50.0,81.0,175.0
M. Götze,86.0,84.0,244.0
S. Mustafi,63.0,82.0,203.0
J. Pastore,79.0,78.0,226.0
Pedro,82.0,81.0,242.0
G. Bonaventura,77.0,82.0,234.0
R. Bürki,49.0,79.0,172.0
Taison,90.0,79.0,262.0
S. Nzonzi,36.0,81.0,161.0
Marlos,92.0,77.0,254.0
A. Ramsey,73.0,81.0,218.0
K. Trippier,74.0,81.0,231.0
A. Kolarov,63.0,84.0,220.0
G. Sigurðsson,68.0,78.0,204.0
S. Giovinco,94.0,80.0,262.0
M. Arnautović,70.0,78.0,227.0
N. Gaitán,87.0,82.0,253.0
J. Henderson,70.0,80.0,217.0
M. Kruse,74.0,85.0,228.0
M. Parolo,67.0,82.0,217.0
L. Fejsa,57.0,78.0,187.0
A. Rami,54.0,75.0,181.0
V. Ćorluka,57.0,77.0,183.0
G. Wijnaldum,80.0,82.0,239.0
F. Fazio,29.0,84.0,149.0
O. Giroud,57.0,83.0,183.0
Marcano,58.0,78.0,203.0
A. Guardado,81.0,82.0,237.0
E. Garay,54.0,76.0,164.0
Jardel,35.0,77.0,162.0
S. Sirigu,52.0,75.0,177.0
E. Viviano,35.0,74.0,139.0
L. Koscielny,65.0,76.0,205.0
A. Consigli,57.0,75.0,180.0
L. Biglia,76.0,80.0,221.0
Dani Alves,84.0,77.0,238.0
David Villa,71.0,83.0,226.0
Aduriz,50.0,85.0,199.0
P. Čech,46.0,77.0,158.0
Casillas,62.0,77.0,198.0
M. Rashford,88.0,79.0,257.0
Laure Santeiro,89.0,80.0,255.0
L. Bailey,86.0,80.0,260.0
M. Akanji,69.0,81.0,222.0
F. de Jong,84.0,83.0,241.0
Nélson Semedo,88.0,82.0,261.0
Pablo Fornals,79.0,76.0,226.0
Fabián,73.0,79.0,221.0
E. Bailly,65.0,74.0,207.0
Dani Ceballos,82.0,80.0,235.0
H. Lozano,91.0,77.0,262.0
Morales,78.0,75.0,241.0
J. Seri,82.0,75.0,232.0
M. Politano,90.0,79.0,254.0
M. Brozović,74.0,77.0,220.0
Williams,80.0,78.0,250.0
A. Correa,87.0,82.0,256.0
A. Christensen,61.0,80.0,207.0
João Mário,81.0,73.0,227.0
T. Strakosha,31.0,74.0,146.0
E. Hysaj,76.0,79.0,234.0
P. Zieliński,79.0,76.0,237.0
Ricardo Pereira,82.0,81.0,251.0
Grimaldo,85.0,79.0,249.0
R. Guerreiro,88.0,83.0,253.0
A. Doucouré,60.0,74.0,197.0
J. Martínez,91.0,79.0,259.0
C. Bacca,73.0,80.0,226.0
A. Plea,79.0,81.0,238.0
B. Davies,70.0,78.0,224.0
M. Nastasić,65.0,80.0,210.0
A. Milik,68.0,75.0,212.0
M. Sabitzer,75.0,85.0,243.0
B. Mendy,68.0,80.0,225.0
C. Kramer,66.0,85.0,203.0
S. Vrsaljko,67.0,77.0,226.0
T. Hazard,91.0,81.0,258.0
K. Bellarabi,86.0,81.0,257.0
S. Zaza,76.0,78.0,233.0
F. Ghoulam,72.0,79.0,222.0
B. Lecomte,36.0,78.0,158.0
J. Iličić,70.0,80.0,217.0
K. Volland,73.0,82.0,233.0
Paco Alcácer,83.0,84.0,249.0
Vitolo,74.0,80.0,232.0
G. Xhaka,49.0,77.0,173.0
D. Tadić,82.0,78.0,229.0
C. Aránguiz,80.0,76.0,232.0
S. Verdi,92.0,78.0,258.0
D. Lovren,50.0,75.0,179.0
G. Medel,78.0,80.0,230.0
X. Shaqiri,84.0,80.0,248.0
J. Corona,90.0,82.0,259.0
A. Areola,53.0,77.0,184.0
K. Vogt,59.0,78.0,203.0
Ander Herrera,79.0,82.0,236.0
E. Salvio,83.0,80.0,252.0
S. El Shaarawy,85.0,72.0,243.0
C. Smalling,55.0,75.0,191.0
Hulk,69.0,82.0,232.0
S. Kagawa,87.0,81.0,242.0
M. Lanzini,86.0,73.0,243.0
F. Smolov,75.0,74.0,237.0
L. Stindl,70.0,84.0,228.0
O. Toprak,64.0,81.0,216.0
D. Perotti,83.0,80.0,249.0
F. Muslera,68.0,76.0,204.0
B. Höwedes,60.0,81.0,193.0
S. Kjær,40.0,73.0,169.0
S. Bender,63.0,78.0,206.0
M. Valbuena,86.0,77.0,244.0
Pedro León,68.0,76.0,207.0
K. Boateng,77.0,79.0,223.0
L. Piszczek,66.0,81.0,221.0
A. Candreva,74.0,78.0,229.0
D. Wass,79.0,80.0,233.0
E. Lamela,75.0,78.0,229.0
D. Rose,69.0,82.0,230.0
C. Vela,81.0,78.0,237.0
Renato Augusto,66.0,81.0,213.0
A. Valencia,72.0,82.0,236.0
L. Fabiański,52.0,71.0,173.0
João Moutinho,76.0,75.0,217.0
Borja Valero,74.0,81.0,210.0
F. Quagliarella,71.0,81.0,225.0
B. Gomis,59.0,78.0,206.0
Manuel Fernandes,82.0,76.0,241.0
H. Herrera,66.0,78.0,215.0
Raffael,83.0,82.0,239.0
Nani,92.0,77.0,246.0
J. Milner,69.0,84.0,216.0
J. Mathieu,52.0,74.0,194.0
Joaquín,72.0,80.0,221.0
M. Gómez,45.0,77.0,183.0
K. Havertz,78.0,78.0,233.0
T. Ndombele,83.0,79.0,246.0
H. Aouar,81.0,78.0,238.0
Carlos Soler,75.0,80.0,230.0
Odriozola,78.0,77.0,235.0
M. Almirón,86.0,79.0,255.0
Welington Dano,83.0,80.0,241.0
Everton Andrão,78.0,78.0,225.0
Oyarzabal,70.0,81.0,223.0
F. Balbuena,42.0,77.0,175.0
M. Marega,67.0,76.0,230.0
B. Pavard,68.0,77.0,214.0
W. Ndidi,67.0,79.0,219.0
A. Onana,68.0,78.0,210.0
G. Lo Celso,81.0,77.0,230.0
M. Acuña,84.0,76.0,239.0
Rúben Neves,65.0,77.0,206.0
Mariano,79.0,82.0,245.0
Raúl,59.0,77.0,188.0
M. Caldara,58.0,77.0,200.0
M. Vecino,66.0,83.0,223.0
T. Bakayoko,64.0,74.0,205.0
M. Dahoud,87.0,79.0,244.0
Rafa,88.0,80.0,259.0
K. Baldé,82.0,76.0,250.0
G. Rulli,58.0,76.0,188.0
F. Armani,40.0,79.0,159.0
Rony Lopes,84.0,78.0,245.0
Santi Mina,78.0,80.0,235.0
K. Demirbay,77.0,81.0,225.0
Gayà,79.0,82.0,247.0
André Gomes,67.0,77.0,212.0
N. Tagliafico,79.0,75.0,239.0
M. Sanson,79.0,80.0,236.0
Pacheco,62.0,77.0,187.0
E. Can,73.0,78.0,220.0
H. Çalhanoğlu,78.0,78.0,229.0
M. Ginter,55.0,79.0,189.0
M. Keane,59.0,75.0,192.0
L. Paredes,77.0,74.0,226.0
T. Stepanenko,60.0,78.0,209.0
L. Shaw,74.0,77.0,234.0
Z. Feddal,50.0,68.0,169.0
S. Haller,68.0,82.0,218.0
Bernard,94.0,80.0,268.0
T. Inui,94.0,76.0,258.0
Portu,79.0,67.0,231.0
M. Batshuayi,75.0,79.0,231.0
E. Zahavi,88.0,78.0,239.0
T. Vaclík,32.0,76.0,142.0
N. Pope,36.0,71.0,157.0
Héctor Bellerín,82.0,78.0,254.0
P. Kadeřábek,66.0,82.0,226.0
J. Butland,55.0,73.0,186.0
J. Vestergaard,29.0,78.0,142.0
J. Tarkowski,58.0,75.0,188.0
Deulofeu,94.0,74.0,257.0
E. Dier,52.0,78.0,192.0
J. Murillo,77.0,73.0,225.0
M. Badelj,68.0,78.0,201.0
Ismaily,72.0,81.0,237.0
N. Schulz,76.0,78.0,242.0
L. Digne,68.0,77.0,221.0
M. Uth,74.0,85.0,236.0
Cristian Tello,82.0,72.0,246.0
D. Vida,64.0,75.0,209.0
L. Muriel,85.0,79.0,250.0
V. Aboubakar,72.0,77.0,225.0
A. Oxlade-Chamberlain,81.0,78.0,243.0
S. Aurier,73.0,81.0,233.0
J. Matip,55.0,80.0,190.0
Y. Rakitskyi,68.0,76.0,213.0
Sergi Enrich,70.0,82.0,212.0
A. Yarmolenko,73.0,82.0,224.0
Hugo Mallo,77.0,80.0,228.0
André Almeida,66.0,82.0,213.0
D. Didavi,75.0,81.0,226.0
R. Rodríguez,73.0,80.0,226.0
R. Pereyra,75.0,74.0,224.0
Mario Gaspar,68.0,79.0,223.0
Maicon,33.0,66.0,151.0
D. Blind,72.0,84.0,218.0
J. Zoet,54.0,77.0,188.0
A. Ljajić,81.0,74.0,237.0
Canales,69.0,79.0,215.0
Iago Falqué,85.0,78.0,242.0
L. de Jong,58.0,81.0,192.0
Guaita,63.0,72.0,186.0
Muniain,88.0,81.0,252.0
Susaeta,81.0,76.0,235.0
S. Rudy,77.0,83.0,229.0
K. Trapp,42.0,80.0,167.0
V. Wanyama,68.0,81.0,203.0
N. Nkoulou,68.0,74.0,214.0
R. Boudebouz,78.0,74.0,227.0
Camacho,68.0,81.0,212.0
S. Ulreich,34.0,79.0,154.0
M. Musacchio,73.0,76.0,218.0
C. Stuani,65.0,81.0,216.0
P. Gulácsi,41.0,72.0,155.0
Bruno,49.0,77.0,160.0
F. Delph,87.0,81.0,243.0
A. Lallana,78.0,74.0,222.0
Marcelo,49.0,71.0,174.0
S. Coleman,73.0,80.0,230.0
Alexandre Pato,83.0,78.0,245.0
Antunes,76.0,78.0,230.0
Nacho Monreal,70.0,82.0,224.0
Beñat,70.0,78.0,212.0
A. Fernández,75.0,80.0,224.0
K. Gameiro,81.0,80.0,247.0
I. Piatti,87.0,82.0,246.0
V. Birsa,68.0,76.0,214.0
S. Romero,52.0,78.0,177.0
D. Criscito,68.0,78.0,224.0
D. Valeri,72.0,80.0,214.0
D. Sturridge,74.0,78.0,224.0
Raúl García,66.0,86.0,199.0
S. Defour,71.0,80.0,218.0
M. Škrtel,49.0,72.0,170.0
S. Radu,70.0,78.0,218.0
G. Cahill,51.0,79.0,172.0
L. Diarra,79.0,77.0,225.0
L. Perrin,63.0,76.0,201.0
Dante,52.0,76.0,166.0
A. Granqvist,55.0,76.0,177.0
A. Gignac,66.0,74.0,213.0
M. Gómez,62.0,80.0,205.0
I. Akinfeev,53.0,71.0,175.0
I. Denisov,77.0,76.0,220.0
Juanfran,74.0,82.0,230.0
Diego López,48.0,78.0,160.0
Santi Cazorla,72.0,76.0,206.0
Jesús Navas,87.0,78.0,254.0
J. Mascherano,72.0,79.0,220.0
A. Mirante,50.0,77.0,171.0
D. Srna,71.0,78.0,218.0
B. Schweinsteiger,61.0,81.0,178.0
Moyá,54.0,74.0,174.0
W. Rooney,66.0,82.0,213.0
Fernando Torres,70.0,73.0,214.0
S. Sorrentino,52.0,67.0,153.0
V. Tsygankov,77.0,78.0,237.0
Rúben Dias,47.0,75.0,185.0
David Neres,91.0,72.0,248.0
Raphinha,86.0,79.0,253.0
A. Harit,90.0,76.0,253.0
Richarlison,78.0,78.0,239.0
L. Martínez,79.0,75.0,236.0
F. Kessié,68.0,76.0,215.0
Luimo Boas Santos,83.0,82.0,251.0
Gabri Prestão,66.0,76.0,200.0
Melvin Parrela,67.0,75.0,204.0
Antônio Chiamuloira,49.0,79.0,195.0
Maikel Catarino,82.0,81.0,246.0
A. Lunev,36.0,76.0,170.0
André Silva,77.0,77.0,231.0
C. Pulisic,87.0,79.0,259.0
M. Dmitrović,32.0,73.0,144.0
L. Tousart,64.0,76.0,209.0
Marcos Llorente,58.0,74.0,193.0
B. Verbič,78.0,79.0,242.0
S. Bergwijn,78.0,71.0,236.0
A. Diallo,75.0,78.0,228.0
A. Golovin,82.0,79.0,241.0
M. Campaña,40.0,71.0,151.0
C. Pavón,92.0,77.0,262.0
K. Toko-Ekambi,79.0,76.0,239.0
Granell,71.0,72.0,208.0
F. Cervi,91.0,82.0,266.0
J. Weigl,77.0,80.0,229.0
V. Lindelöf,66.0,75.0,209.0
A. Rebić,75.0,77.0,235.0
A. Sanabria,78.0,74.0,229.0
R. Battaglia,60.0,78.0,205.0
M. Philipp,83.0,79.0,246.0
A. Saint-Maximin,93.0,78.0,263.0
D. Zappacosta,72.0,76.0,222.0
L. Alario,72.0,71.0,214.0
D. Benedetto,77.0,74.0,229.0
I. Marcone,60.0,79.0,193.0
J. Gbamin,68.0,76.0,220.0
J. Lerma,75.0,72.0,221.0
Ricardo Horta,85.0,81.0,244.0
R. Zobnin,70.0,79.0,223.0
M. Meyer,89.0,79.0,244.0
Bruma,93.0,75.0,262.0
R. Centurión,89.0,75.0,255.0
Jonny,72.0,71.0,220.0
Otávio,86.0,80.0,242.0
J. Hofmann,78.0,79.0,235.0
N. Aké,68.0,79.0,222.0
J. Hector,67.0,80.0,222.0
S. Kolašinac,49.0,77.0,194.0
G. Pizarro,62.0,72.0,196.0
Roger,78.0,75.0,231.0
Sergio Rico,62.0,76.0,186.0
L. Milivojević,58.0,77.0,188.0
D. Baselli,79.0,75.0,229.0
K. Rekik,65.0,76.0,207.0
Denis Suárez,82.0,82.0,241.0
W. Orban,48.0,74.0,173.0
Mário Rui,88.0,78.0,254.0
Iñigo Martínez,67.0,75.0,213.0
K. Zouma,45.0,74.0,179.0
Roque Mesa,76.0,76.0,226.0
J. Brooks,57.0,73.0,196.0
L. Karius,51.0,75.0,181.0
Zé Luís,64.0,80.0,224.0
D. Klaassen,67.0,78.0,216.0
M. Elyounoussi,84.0,72.0,243.0
L. Bittencourt,92.0,76.0,258.0
Sergi Darder,75.0,76.0,209.0
J. Roussillon,77.0,73.0,237.0
D. Demme,88.0,76.0,232.0
J. Gouweleeuw,65.0,78.0,211.0
M. Rojo,68.0,74.0,210.0
J. Veretout,76.0,79.0,227.0
L. Kurzawa,75.0,80.0,234.0
G. Ramírez,78.0,76.0,224.0
David López,51.0,72.0,180.0
C. Tătăruşanu,59.0,74.0,183.0
A. Mandi,77.0,76.0,218.0
D. Sidibé,70.0,75.0,223.0
Y. Konoplyanka,83.0,77.0,249.0
S. Berghuis,82.0,76.0,238.0
H. Vanaken,56.0,80.0,181.0
Campaña,67.0,74.0,206.0
M. van Ginkel,71.0,77.0,210.0
Nolito,82.0,84.0,240.0
M. Gregoritsch,67.0,78.0,210.0
Ibai Gómez,79.0,75.0,233.0
Danilo,70.0,79.0,222.0
R. Barkley,66.0,74.0,209.0
M. Ryan,53.0,73.0,179.0
Sergio León,81.0,77.0,234.0
B. Stambouli,67.0,78.0,210.0
J. Guilavogui,53.0,79.0,197.0
Sérgio Oliveira,66.0,74.0,202.0
D. Caligiuri,76.0,79.0,232.0
C. Wilson,74.0,74.0,235.0
P. Jones,52.0,77.0,183.0
Borja García,75.0,72.0,228.0
Y. Belhanda,85.0,79.0,239.0
G. Pezzella,34.0,77.0,163.0
Jaume Costa,76.0,69.0,224.0
C. Tosun,73.0,80.0,225.0
Escudero,74.0,78.0,224.0
Kike García,65.0,75.0,205.0
Elkeson,77.0,75.0,238.0
Ricardo Goulart,72.0,76.0,228.0
J. Guðmundsson,76.0,77.0,232.0
N. Clyne,79.0,75.0,231.0
M. Hitz,41.0,72.0,154.0
De Marcos,76.0,80.0,235.0
B. Mee,63.0,75.0,200.0
Rafael,79.0,80.0,243.0
Iborra,51.0,75.0,165.0
J. Wilshere,76.0,76.0,220.0
B. Hübner,45.0,78.0,177.0
Souza,69.0,75.0,212.0
F. Coquelin,73.0,74.0,217.0
Alex Teixeira,90.0,82.0,265.0
A. Dzagoev,71.0,80.0,232.0
I. Smolnikov,80.0,75.0,239.0
Y. M'Vila,73.0,76.0,223.0
K. Asamoah,85.0,78.0,240.0
R. Zieler,43.0,80.0,169.0
D. Drinkwater,67.0,77.0,207.0
N. Kalinić,69.0,78.0,214.0
Mariano,74.0,77.0,238.0
S. Feghouli,86.0,78.0,247.0
Adrien Silva,70.0,76.0,210.0
Fernando,71.0,77.0,209.0
I. Traoré,93.0,80.0,262.0
G. Mercado,66.0,72.0,213.0
N. Petersen,64.0,84.0,205.0
O. Karnezis,45.0,75.0,164.0
M. Sakho,50.0,70.0,169.0
Sidnei,36.0,75.0,176.0
S. Jovetić,79.0,76.0,223.0
Eder,81.0,78.0,244.0
J. Hernández,75.0,82.0,234.0
Fabricio,57.0,74.0,190.0
Kiko Casilla,43.0,74.0,149.0
Ángel,79.0,80.0,233.0
M. Schneiderlin,69.0,76.0,203.0
M. Fellaini,47.0,81.0,169.0
P. Wernbloom,53.0,77.0,185.0
D. Ospina,44.0,72.0,150.0
S. Mignolet,34.0,74.0,158.0
A. Begović,52.0,74.0,178.0
N. Şahin,74.0,82.0,196.0
R. Bertrand,73.0,76.0,227.0
A. Masiello,60.0,79.0,197.0
T. Walcott,79.0,77.0,245.0
Charles,86.0,80.0,230.0
T. Heaton,54.0,73.0,183.0
H. Ben Arfa,82.0,70.0,229.0
D. Abraham,61.0,76.0,213.0
E. Lavezzi,87.0,81.0,253.0
S. Kalou,76.0,82.0,225.0
J. Farfán,75.0,77.0,236.0
R. Babel,77.0,71.0,231.0
A. Young,77.0,80.0,234.0
J. Hart,50.0,72.0,178.0
L. López,84.0,74.0,235.0
D. Baier,71.0,81.0,205.0
B. Yılmaz,72.0,81.0,234.0
R. Adler,49.0,80.0,171.0
S. Lichtsteiner,73.0,79.0,217.0
